mechanism,elems,N,fidelity
rwkv_delta_d64,4096,2,0.9972
rwkv_delta_d64,4096,4,0.9864
rwkv_delta_d64,4096,8,0.971
rwkv_delta_d64,4096,16,0.9319
rwkv_delta_d64,4096,32,0.849
rwkv_delta_d64,4096,48,0.7633
rwkv_delta_d64,4096,64,0.6817
rwkv_delta_d64,4096,96,0.5396
rwkv_delta_d64,4096,128,0.4452
rwkv_delta_d64,4096,192,0.3167
rwkv_delta_d64,4096,256,0.2472
rwkv_hebbian_d64,4096,2,0.9947
rwkv_hebbian_d64,4096,4,0.9768
rwkv_hebbian_d64,4096,8,0.953
rwkv_hebbian_d64,4096,16,0.9032
rwkv_hebbian_d64,4096,32,0.828
rwkv_hebbian_d64,4096,48,0.7651
rwkv_hebbian_d64,4096,64,0.7145
rwkv_hebbian_d64,4096,96,0.6358
rwkv_hebbian_d64,4096,128,0.5783
rwkv_hebbian_d64,4096,192,0.5014
rwkv_hebbian_d64,4096,256,0.4469
rwkv_delta_d128,16384,2,0.9972
rwkv_delta_d128,16384,4,0.9953
rwkv_delta_d128,16384,8,0.9889
rwkv_delta_d128,16384,16,0.9713
rwkv_delta_d128,16384,32,0.9307
rwkv_delta_d128,16384,48,0.8877
rwkv_delta_d128,16384,64,0.8457
rwkv_delta_d128,16384,96,0.7587
rwkv_delta_d128,16384,128,0.6793
rwkv_delta_d128,16384,192,0.544
rwkv_delta_d128,16384,256,0.4434
hdc_bipolar_D4096,4096,2,0.7082
hdc_bipolar_D4096,4096,4,0.4737
hdc_bipolar_D4096,4096,8,0.3207
hdc_bipolar_D4096,4096,16,0.2185
hdc_bipolar_D4096,4096,32,0.1498
hdc_bipolar_D4096,4096,48,0.1223
hdc_bipolar_D4096,4096,64,0.1044
hdc_bipolar_D4096,4096,96,0.0852
hdc_bipolar_D4096,4096,128,0.0731
hdc_bipolar_D4096,4096,192,0.0592
hdc_bipolar_D4096,4096,256,0.0507
hdc_bipolar_D16384,16384,2,0.708
hdc_bipolar_D16384,16384,4,0.4741
hdc_bipolar_D16384,16384,8,0.3204
hdc_bipolar_D16384,16384,16,0.2194
hdc_bipolar_D16384,16384,32,0.1512
hdc_bipolar_D16384,16384,48,0.1216
hdc_bipolar_D16384,16384,64,0.1047
hdc_bipolar_D16384,16384,96,0.0848
hdc_bipolar_D16384,16384,128,0.0731
hdc_bipolar_D16384,16384,192,0.0593
hdc_bipolar_D16384,16384,256,0.0511
hdc_sparseT_D4096,4096,2,0.6982
hdc_sparseT_D4096,4096,4,0.4861
hdc_sparseT_D4096,4096,8,0.3311
hdc_sparseT_D4096,4096,16,0.2263
hdc_sparseT_D4096,4096,32,0.1549
hdc_sparseT_D4096,4096,48,0.1257
hdc_sparseT_D4096,4096,64,0.1066
hdc_sparseT_D4096,4096,96,0.0862
hdc_sparseT_D4096,4096,128,0.0742
hdc_sparseT_D4096,4096,192,0.0601
hdc_sparseT_D4096,4096,256,0.0516
